,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
CAV2,22.09245,21.72215,23.2783,24.63485,16.43575,27.909,28.81135,63.1735,20.7296,21.8223
CAV3,0,0,0.7084055,0.5695535,0,0,0,0,0.015206,0
CBFA2T2,4.504995,5.336505,4.34628,3.83008,6.256155,9.8851,2.57445,3.11399,2.814655,3.2393
CBFA2T3,0.08998735,0.03086915,0.968661,0.553612,0.08837455,0.180005,0.447615,0.874539,1.697265,0.4252855
CBFB,33.62805,33.5497,21.1443,20.25085,37.89725,43.63675,54.1321,56.76645,24.84905,21.87375
CBL,5.13763,4.408145,2.43714,1.83329,5.633565,8.78805,9.11431,9.70608,4.94682,4.40252
CBLB,6.39103,3.24975,9.147455,5.200065,5.81115,7.71516,3.41539,4.499775,4.81556,4.08061
CBLC,0,0,0.01462165,0,0,0,0,0,0.10889095,0
CBLL1,6.31177,8.241735,9.41331,8.989215,5.32909,8.185155,13.1023,11.4866,7.27368,9.331005
CBLN1,0.3071955,0.0926415,4.64817,2.16876,1.63814,0.737043,1.167505,0.2664095,0.13179455,0.0096803
CBLN2,3.77397,0.006124,0.0149089,0.00812105,0.2686245,0.1413795,0.1135352,0.0977456,0.2841205,0.1841155
CBLN3,1.214555,0.653685,0.983531,0.6750435,0.699069,1.306225,0.7454395,1.39128,0.7459325,0.953247
CBLN4,0.1386395,0.0718591,0.0333572,0.176774,29.9362,0.868181,1.411925,0.3632745,0.0067605,0.1092021
CBR1,166.663,149.015,82.0834,105.3245,39.10665,43.5768,76.4428,68.9545,75.05945,96.90195
CBR3,28.28505,23.5455,29.7935,37.1087,25.05365,18.4791,36.78265,18.20535,44.60605,42.71125
CBR3-AS1,1.553045,1.18859,1.2879795,1.1410275,1.56486,1.83478,1.66893,1.367925,0.969432,1.502405
CBR4,13.718,13.88405,5.83639,4.22726,10.157,12.05005,5.136655,5.72894,3.127445,2.531835
CBS,15.33025,15.47975,20.2639,10.53365,84.019,80.59855,13.06185,12.4341,10.1243,23.28605
CBWD1,2.169385,1.70301,2.58616,3.27236,1.857795,2.65452,1.57826,1.8692,1.354645,1.36621
CBWD2,1.76482,1.38633,1.32387,1.1505135,1.62624,2.75269,3.328115,3.14614,1.93722,1.90681
CBWD3,0.170287,0.1223925,0.3288975,0.6307355,0.9361545,0.567701,0.52622,0.209515,0.3223535,0.3286485
CBWD5,4.56E-08,0,0,0,0,0,4.12E-08,0,0,0
CBWD6,0.303866,0.14987885,0.603802,0.9314345,0.450199,0.2603305,0.496172,0.3922945,0.326845,0.6526795
CBX1,31.8602,49.20315,19.50735,17.86275,40.33085,36.58775,24.3648,17.47225,40.56735,32.7391
CBX2,5.437535,6.226085,2.675315,2.99967,1.963875,2.358265,1.748725,1.14885,4.48354,3.486125
CBX3,163.4575,189.9285,159.557,204.3095,286.4995,339.5685,194.7025,160.1265,139.9485,128.4065
CBX3P2,0.1422675,0.1138109,0.7203995,0.565087,0.955914,0.701764,0.2359775,0.3046535,0.2651515,0.561025
CBX4,27.38315,25.69405,25.0948,24.5366,21.59125,12.62595,36.84025,29.18445,21.62415,25.1949
CBX5,11.10455,14.2493,5.14445,3.02323,10.99065,16.5107,20.85645,12.5404,9.938635,5.491135
CBX6,18.5886,10.131155,7.07228,8.008835,48.91195,37.55065,25.36545,31.2236,13.062,9.544805
CBX7,11.42975,8.61919,10.112755,9.649175,11.69965,11.591,14.46945,13.8551,5.82502,6.07835
